tier,model_name,symbol,window,n_passed,win_rate,wilson_ci_lower,wilson_ci_upper,recency_weighted_ev,ev_per_trade,roi_pct,sharpe,raw_p,cross_cell_adj_p,best_confidence_threshold,wf_ev_pos_folds,wf_n_folds,wf_mean_roi_pct,wf_robust,walk_forward_skipped,walk_forward_skip_reason,train_win_rate,test_win_rate,train_test_gap_pct,decay_slope_negative,kelly_multiplier,tier_reason
blocked,h300_btc_v3_179d_20260506,BTCUSDT,300,288,0.520833,0.463244,0.577875,0.005444,0.005444,0.5444,0.1892,0.23975,0.920036,0.62,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4632<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h60_sol_v3_89d_20260427,SOLUSDT,900,92,0.48913,0.389487,0.589645,0.00513,0.00513,0.513,0.1007,0.582586,0.987434,0.5,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3895<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.987434 not<0.05
blocked,h900_sol_v3_89d_20260506,SOLUSDT,900,95,0.515789,0.416652,0.613699,0.004632,0.004632,0.4632,0.088,0.37912,0.920036,,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4167<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h900_btc_v3_179d_20260506,BTCUSDT,300,288,0.513889,0.456363,0.571049,0.004542,0.004542,0.4542,0.1578,0.318676,0.920036,0.6,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4564<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h900_sol_v3_329d_20260427,SOLUSDT,300,277,0.512635,0.454004,0.570921,0.004123,0.004123,0.4123,0.1416,0.337028,0.920036,0.56,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4540<=0.515; wf_ev_pos_folds=0/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h300_sol_v3_329d_20260427,SOLUSDT,900,92,0.48913,0.389487,0.589645,0.003717,0.003717,0.3717,0.0729,0.582586,0.987434,0.52,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3895<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.987434 not<0.05
blocked,h600_sol_v3_179d_20260506,SOLUSDT,300,287,0.522648,0.464944,0.579754,0.002394,0.002394,0.2394,0.081,0.221432,0.920036,,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4649<=0.515; wf_ev_pos_folds=0/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1200_sol_v3_329d_20260506,SOLUSDT,300,287,0.515679,0.458037,0.572908,0.00208,0.00208,0.208,0.0703,0.297622,0.920036,,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4580<=0.515; wf_ev_pos_folds=0/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_sol_v3_329d_20260427,SOLUSDT,300,277,0.519856,0.461152,0.578016,0.001126,0.001126,0.1126,0.0386,0.25433,0.920036,0.56,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4612<=0.515; wf_ev_pos_folds=0/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h300_btc_v3_329d_20260506,BTCUSDT,300,288,0.524306,0.466688,0.581283,0.000549,0.000549,0.0549,0.0191,0.204698,0.920036,0.54,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4667<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
